"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20180101","2018","52","2018","31","AZE","Azerbaijan","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","18","false","0","false",,"380","380","0","false","true",
"C","A","20180101","2018","52","2018","32","ARG","Argentina","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","2474","false","5","u","2474","false","120.39","false",,"false",,"26839.66","26839.66","0","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","54623.365","true","253338.49","false",,"8618740.425","8618740.425","6","false","true",
"C","A","20180101","2018","52","2018","40","AUT","Austria","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","13562","false",,"false",,"8004918.956","8004918.956","0","false","true",
"C","A","20180101","2018","52","2018","44","BHS","Bahamas","X","Export","842","USA","USA","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","24","false","5","u","24","false","674.386","true","0","false",,"100659.83","100659.83","4","false","true",
"C","A","20180101","2018","52","2018","51","ARM","Armenia","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","82","false","5","u","82","false","44.4","false","0","false","0","10469","10469","0","false","true",
"C","A","20180101","2018","52","2018","56","BEL","Belgium","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","4844.89","false","0","false","0","8560764.946","8560764.946","2","false","true",
"C","A","20180101","2018","52","2018","68","BOL","Bolivia (Plurinational State of)","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3.14","false","8","kg","3.14","false","3.14","false","0","false","0","496.12","496.12","0","false","true",
"C","A","20180101","2018","52","2018","70","BIH","Bosnia Herzegovina","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","3","false",,"false",,"2532.9","2532.9","0","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","9359.623","true","0","false",,"571829","571829","6","false","true",
"C","A","20180101","2018","52","2018","100","BGR","Bulgaria","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","11865.25","true","0","false",,"989335.114","989335.114","6","false","true",
"C","A","20180101","2018","52","2018","112","BLR","Belarus","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","319","false","5","u","319","false","6","false",,"false",,"57800","57800","0","false","true",
"C","A","20180101","2018","52","2018","31","AZE","Azerbaijan","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","0.25","false","0","false",,"70","70","0","false","true",
"C","A","20180101","2018","52","2018","32","ARG","Argentina","X","Export","842","USA","USA","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","39653","false","5","u","39653","false","714.86","false",,"false",,"286425.44","286425.44","0","false","true",
