NCES_DISTR,District,DISTRICT_NAME,GT_SPEND_DIFF,TAX_DIFF,STATE_DIFF,TOT_MONEY_DIFF,SDLEA10,NAME,NAME2,TEA.District.Type,TEA.Description,NCES.District.Type,NCES.Description,Charter.School..Y.N.,SCH_GTENR_HI_M,SCH_GTENR_HI_F,GT_Hispanic,SCH_GTENR_AM_M,SCH_GTENR_AM_F,GT_AM,SCH_GTENR_AS_M,SCH_GTENR_AS_F,GT_AS,SCH_GTENR_HP_M,SCH_GTENR_HP_F,GT_HP,SCH_GTENR_BL_M,SCH_GTENR_BL_F,GT_BL,SCH_GTENR_WH_M,SCH_GTENR_WH_F,GT_WH,TOT_GTENR_M,TOT_GTENR_F,TOT_GT,LEA_STATE,LEA_STATE_NAME,LEA_NAME,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_HI,SCH_ENR_AM,SCH_ENR_AS,SCH_ENR_HP,SCH_ENR_BL,SCH_ENR_TR,TOT_ENR
4800001,54901,CROSBYTON CISD,1810,175054,-357652,915325,1,Crosbyton Cons ISD,Crosbyton Cons,H,Rural,43,Rural-Remote,N,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,10,12,22,TX,TEXAS,CROSBYTON CISD,6,10,0,0,0,0,0,0,0,1,2,1,0,0,8,12,0,0,1,0,131,130,0,0,0,0,0,0,5,8,44,47,0,0,180,185,261,0,0,0,13,0,365
4800002,63903,SPUR ISD,-217,-28316,-955202,-1163482,2,Spur ISD,Spur,H,Rural,43,Rural-Remote,N,2,6,8,0,0,0,0,0,0,0,0,0,1,1,2,4,9,13,7,16,23,TX,TEXAS,SPUR ISD,6,4,0,0,0,0,0,0,0,0,5,5,0,0,11,9,0,0,0,2,60,53,0,0,1,0,0,0,4,5,64,67,4,3,133,128,113,0,1,0,9,7,261
4800003,69901,ROCKSPRINGS ISD,-2714,602948,428591,991930,3,Rocksprings ISD,Rocksprings,H,Rural,43,Rural-Remote,N,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,8,8,16,TX,TEXAS,ROCKSPRINGS ISD,11,5,0,0,0,0,0,0,0,0,2,3,0,0,13,8,0,0,0,0,150,96,0,0,0,0,0,0,0,0,36,31,0,0,186,127,246,0,0,0,0,0,313
4800005,177903,BLACKWELL CISD,-521,-3048787,3310212,-1268330,5,Blackwell Cons ISD,Blackwell Cons,H,Rural,43,Rural-Remote,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,6,9,15,TX,TEXAS,BLACKWELL CISD,4,0,0,0,0,0,0,0,0,0,5,3,1,0,10,3,0,0,1,0,20,9,0,1,0,0,0,0,0,0,64,58,3,3,87,71,29,1,0,0,0,6,158
4800006,217901,ASPERMONT ISD,-3949,275948,-262753,227787,6,Aspermont ISD,Aspermont,H,Rural,43,Rural-Remote,N,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18,12,8,20,TX,TEXAS,ASPERMONT ISD,10,4,0,0,0,4,0,0,0,0,12,6,0,0,22,14,0,0,2,0,84,68,0,0,4,8,0,0,6,4,144,130,4,6,242,216,152,0,12,0,10,10,458
4800007,42905,PANTHER CREEK CISD,-5453,337532,165482,387897,7,Panther Creek Cons ISD,Panther Creek Cons,H,Rural,43,Rural-Remote,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,TX,TEXAS,PANTHER CREEK CISD,1,1,0,0,0,0,0,0,0,0,0,7,0,0,1,8,0,0,0,0,20,16,0,0,1,0,0,0,2,2,65,64,2,2,90,84,36,0,1,0,4,4,174
4800008,105904,DRIPPING SPRINGS ISD,-15369,12271306,1042459,15117458,8,Dripping Springs ISD,Dripping Springs,B,Major Suburban,42,Rural-Distant,N,32,14,46,1,1,2,5,6,11,0,0,0,0,1,1,211,134,345,266,164,430,TX,TEXAS,DRIPPING SPRINGS ISD,23,29,1,0,2,2,0,2,2,0,51,56,4,5,83,94,7,17,5,4,686,671,14,8,60,54,2,5,30,24,2358,2245,123,134,3273,3141,1357,22,114,7,54,257,6414
4800009,105905,WIMBERLEY ISD,221139,4182389,116565,4136225,9,Wimberley ISD,Wimberley,D,Other Central City Suburban,41,Rural-Fringe,N,8,15,23,0,1,1,0,1,1,0,0,0,0,0,0,99,74,173,108,93,201,TX,TEXAS,WIMBERLEY ISD,16,16,0,2,0,0,0,0,0,2,24,21,0,2,40,43,6,11,6,3,298,301,7,12,2,10,0,0,8,6,889,842,35,29,1239,1200,599,19,12,0,14,64,2439
4800010,105906,HAYS CISD,-559601,20325178,7354565,28312439,10,Hays Cons ISD,Hays Cons,B,Major Suburban,21,Suburb-Large,N,341,294,635,1,0,1,9,13,22,0,0,0,17,15,32,386,321,707,778,658,1436,TX,TEXAS,HAYS CISD,230,222,0,0,4,0,0,0,3,8,28,32,4,4,269,266,125,99,18,6,6426,6299,19,19,101,85,11,3,276,273,3033,2807,234,244,10100,9730,12725,38,186,14,549,478,19830
4800011,126901,ALVARADO ISD,251067,711949,3469737,4493806,11,Alvarado ISD,Alvarado,D,Other Central City Suburban,41,Rural-Fringe,N,32,23,55,0,0,0,1,0,1,0,0,0,2,0,2,102,99,201,143,131,274,TX,TEXAS,ALVARADO ISD,22,26,0,0,0,0,0,0,0,1,11,23,3,0,36,50,13,15,4,2,751,698,13,9,7,2,0,1,48,54,1092,937,52,44,1963,1745,1449,22,9,1,102,96,3708
